BookingID,FullName,BookingStart,Hours,AmountPaid
B110,Johnny Hunter,2023-09-30 14:00,3,15.00
B111,Meghan Gordon,2023-09-30 15:00,2,10.00
B112,Logan Hart,2023-09-30 16:00,1,5.00
B113,Kristen Harvey,2023-10-01 10:00,2,10.00
B114,Chase Elliott,2023-10-01 11:00,1,5.00
B115,Cassidy Austin,2023-10-01 12:00,2,10.00
B116,Dillon Carpenter,2023-10-01 13:00,1,5.00
B117,Savannah Weber,2023-10-01 14:00,3,15.00
B118,Clinton Riley,2023-10-01 15:00,2,10.00
B119,Breanna Lawson,2023-10-01 16:00,1,5.00
B120,John Smith,2023-10-02 10:00,2,10.00
